 10 
 250 3120 
 19 208 -89 
 19 211 90 
 19 215 7 
 19 221 -21 
 19 223 -63 
 19 224 18 
 19 225 -49 
 19 226 -87 
 19 240 -50 
 19 244 -12 
 19 250 10 
 20 50 -86 
 20 75 32 
 20 83 63 
 20 84 -56 
 20 88 24 
 20 99 -77 
 20 114 -72 
 20 121 18 
 20 128 63 
 20 132 81 
 20 141 49 
 20 162 51 
 20 178 14 
 20 179 -43 
 20 199 -94 
 20 208 -7 
 20 211 -78 
 20 212 72 
 20 219 1 
 20 227 9 
 20 228 77 
 20 233 81 
 21 25 -11 
 21 28 96 
 21 31 -28 
 21 36 65 
 21 61 83 
 21 62 -10 
 21 73 -95 
 21 74 97 
 21 94 41 
 21 95 -84 
 21 109 48 
 21 110 85 
 21 114 81 
 21 142 97 
 21 143 -5 
 21 146 11 
 21 149 -71 
 21 151 -25 
 21 167 -33 
 21 171 79 
 21 172 -17 
 21 175 75 
 21 212 71 
 21 223 -85 
 21 225 88 
 21 241 66 
 22 22 -20 
 22 26 91 
 22 28 -27 
 22 36 5 
 22 46 27 
 22 54 -37 
 22 68 64 
 22 75 -5 
 22 80 -41 
 22 100 83 
 22 104 -33 
 22 110 86 
 22 130 -17 
 22 131 -41 
 22 134 56 
 22 140 57 
 22 154 -36 
 22 168 68 
 22 188 26 
 22 189 87 
 22 193 -31 
 22 196 -12 
 22 211 -99 
 22 218 34 
 22 222 26 
 22 223 75 
 22 236 3 
 22 238 -59 
 23 32 87 
 23 34 -14 
 23 36 -57 
 23 39 19 
 23 48 26 
 23 51 9 
 23 57 -43 
 23 59 -44 
 23 61 90 
 23 67 58 
 23 95 -68 
 23 116 -12 
 23 130 71 
 23 131 -37 
 23 132 3 
 23 133 99 
 23 142 -43 
 23 145 19 
 23 197 -28 
 23 205 85 
 23 214 -40 
 23 218 17 
 23 220 -28 
 23 224 55 
 23 230 8 
 23 236 -21 
 23 249 73 
 24 50 -23 
 24 64 15 
 24 73 10 
 24 74 40 
 24 75 -47 
 24 80 63 
 24 81 -38 
 24 82 -25 
 24 85 -34 
 24 90 91 
 24 123 23 
 24 132 -40 
 24 137 -41 
 24 146 -33 
 24 161 86 
 24 169 11 
 24 199 -66 
 24 202 36 
 24 215 27 
 24 217 -93 
 24 235 -48 
 24 241 -14 
 25 90 -5 
 25 96 77 
 25 102 -46 
 25 107 -1 
 25 116 2 
 25 146 89 
 25 150 -68 
 25 175 30 
 25 184 83 
 25 186 83 
 25 191 -64 
 25 192 -10 
 25 198 -46 
 25 210 -17 
 25 215 69 
 25 226 -32 
 25 227 39 
 25 235 25 
 25 238 38 
 25 246 -40 
 25 250 1 
 26 43 -29 
 26 45 25 
 26 48 14 
 26 64 -99 
 26 77 52 
 26 80 57 
 26 81 28 
 26 93 -34 
 26 95 78 
 26 106 90 
 26 118 -69 
 26 120 -43 
 26 127 63 
 26 131 -57 
 26 153 -64 
 26 177 38 
 26 180 -7 
 26 199 -19 
 26 213 82 
 26 225 -85 
 26 236 -8 
 26 240 -33 
 27 27 -81 
 27 38 21 
 27 52 -19 
 27 54 -18 
 27 62 -1 
 27 63 -97 
 27 74 67 
 27 89 -82 
 27 104 78 
 27 133 2 
 27 142 -76 
 27 177 -43 
 27 181 78 
 27 186 -58 
 27 188 -16 
 27 192 -50 
 27 211 -78 
 27 233 17 
 27 235 -9 
 27 238 -48 
 27 245 88 
 28 35 12 
 28 40 2 
 28 51 -62 
 28 63 -25 
 28 74 -9 
 28 78 -73 
 28 91 -11 
 28 92 86 
 28 104 93 
 28 109 -57 
 28 140 72 
 28 157 1 
 28 164 57 
 28 170 -63 
 28 178 -18 
 28 179 -86 
 28 197 49 
 28 216 -89 
 28 221 10 
 28 222 50 
 28 233 -9 
 28 249 71 
 29 38 49 
 29 41 98 
 29 49 27 
 29 50 94 
 29 59 -11 
 29 67 -69 
 29 78 97 
 29 82 82 
 29 84 31 
 29 90 25 
 29 114 -53 
 29 129 21 
 29 140 19 
 29 145 23 
 29 173 -98 
 29 175 -30 
 29 183 -47 
 29 188 32 
 29 194 -90 
 29 201 -25 
 29 212 29 
 30 31 -78 
 30 33 80 
 30 44 -59 
 30 50 -87 
 30 58 35 
 30 60 97 
 30 82 -71 
 30 86 -13 
 30 88 10 
 30 93 -27 
 30 95 94 
 30 97 76 
 30 104 84 
 30 107 -68 
 30 108 -43 
 30 113 33 
 30 119 -84 
 30 126 98 
 30 129 5 
 30 130 34 
 30 148 -35 
 30 149 6 
 30 168 9 
 30 181 56 
 30 189 43 
 30 193 32 
 30 211 -47 
 30 213 2 
 30 222 -69 
 30 242 -12 
 30 243 21 
 31 44 49 
 31 46 81 
 31 48 -14 
 31 49 -58 
 31 66 77 
 31 111 87 
 31 112 34 
 31 118 79 
 31 120 -42 
 31 144 -26 
 31 149 -37 
 31 162 34 
 31 190 2 
 31 191 41 
 31 197 34 
 31 202 77 
 31 215 52 
 31 240 23 
 31 242 -96 
 31 245 -17 
 31 247 48 
 32 61 -27 
 32 74 39 
 32 88 93 
 32 93 75 
 32 114 -16 
 32 134 -58 
 32 137 -65 
 32 166 27 
 32 176 -17 
 32 183 5 
 32 194 33 
 32 198 -60 
 32 227 -52 
 32 232 52 
 32 244 -31 
 33 36 -24 
 33 54 -96 
 33 62 42 
 33 80 -76 
 33 84 18 
 33 86 -60 
 33 93 5 
 33 101 68 
 33 107 30 
 33 115 -53 
 33 124 -76 
 33 126 -36 
 33 128 -1 
 33 131 1 
 33 134 -75 
 33 138 78 
 33 152 -68 
 33 158 -97 
 33 193 96 
 33 197 -50 
 33 216 20 
 33 228 -58 
 33 236 -30 
 34 42 22 
 34 71 98 
 34 105 44 
 34 116 -54 
 34 117 67 
 34 129 -19 
 34 151 20 
 34 162 -14 
 34 173 -3 
 34 174 -72 
 34 197 -80 
 34 206 45 
 34 214 80 
 34 227 61 
 34 236 34 
 35 39 -57 
 35 56 -8 
 35 72 74 
 35 82 52 
 35 106 -96 
 35 111 -41 
 35 121 22 
 35 128 -73 
 35 140 -89 
 35 158 43 
 35 159 -91 
 35 182 -21 
 35 184 -2 
 35 187 -55 
 35 189 2 
 35 208 2 
 35 210 21 
 35 221 11 
 35 227 49 
 35 246 -28 
 36 84 24 
 36 85 47 
 36 86 -98 
 36 89 -32 
 36 92 -12 
 36 93 -8 
 36 106 95 
 36 113 9 
 36 157 -56 
 36 180 -90 
 36 188 -14 
 36 198 49 
 36 201 -59 
 36 208 -10 
 36 210 -72 
 36 221 -42 
 36 238 -77 
 36 240 23 
 36 243 4 
 36 244 -19 
 37 41 63 
 37 42 73 
 37 47 -36 
 37 61 -2 
 37 66 34 
 37 79 -87 
 37 89 93 
 37 93 94 
 37 98 44 
 37 101 -13 
 37 116 2 
 37 128 -36 
 37 137 -8 
 37 151 31 
 37 158 94 
 37 160 48 
 37 161 94 
 37 163 -88 
 37 174 74 
 37 182 -99 
 37 203 -3 
 37 217 99 
 37 220 -20 
 37 232 -62 
 37 234 46 
 37 238 25 
 37 239 -6 
 37 246 82 
 38 40 80 
 38 45 -10 
 38 56 81 
 38 57 -17 
 38 68 -2 
 38 70 99 
 38 77 -56 
 38 79 37 
 38 81 43 
 38 84 74 
 38 97 -41 
 38 100 -78 
 38 107 56 
 38 119 -98 
 38 123 92 
 38 130 -35 
 38 138 67 
 38 146 -52 
 38 177 -99 
 38 178 -19 
 38 194 -26 
 38 199 -42 
 38 204 50 
 38 232 -9 
 38 240 -93 
 38 243 90 
 39 84 27 
 39 90 -46 
 39 104 -74 
 39 106 75 
 39 120 -58 
 39 122 -39 
 39 134 -71 
 39 146 76 
 39 148 -32 
 39 154 30 
 39 159 50 
 39 185 -31 
 39 188 11 
 39 199 -98 
 39 206 50 
 39 213 34 
 39 218 66 
 39 228 95 
 39 229 -93 
 39 232 10 
 39 236 89 
 39 239 -84 
 39 249 96 
 40 62 41 
 40 69 -46 
 40 83 34 
 40 94 76 
 40 108 10 
 40 110 59 
 40 112 -70 
 40 114 -53 
 40 164 60 
 40 168 -13 
 40 170 -1 
 40 176 85 
 40 177 -56 
 40 203 42 
 40 206 58 
 40 208 74 
 40 211 86 
 40 220 79 
 40 227 -62 
 40 231 -68 
 41 64 -47 
 41 70 -43 
 41 72 47 
 41 78 -1 
 41 81 -63 
 41 83 97 
 41 88 96 
 41 103 5 
 41 107 39 
 41 119 -85 
 41 123 -75 
 41 155 48 
 41 177 -23 
 41 186 50 
 41 201 -79 
 41 215 88 
 41 234 -5 
 41 235 14 
 41 236 69 
 41 243 -26 
 41 246 55 
 42 58 -95 
 42 73 -91 
 42 88 36 
 42 93 70 
 42 106 -14 
 42 110 -70 
 42 112 -95 
 42 115 34 
 42 123 39 
 42 133 29 
 42 142 -37 
 42 159 59 
 42 170 -77 
 42 178 -50 
 42 221 -73 
 42 249 -68 
 43 68 92 
 43 71 -86 
 43 90 47 
 43 97 -38 
 43 117 -87 
 43 125 94 
 43 134 67 
 43 139 -39 
 43 162 -10 
 43 167 86 
 43 174 55 
 43 180 68 
 43 186 34 
 43 196 94 
 43 199 -23 
 43 200 70 
 43 202 -66 
 43 223 81 
 43 233 -41 
 43 234 67 
 43 238 -42 
 43 243 37 
 44 49 -56 
 44 52 61 
 44 53 74 
 44 61 43 
 44 72 66 
 44 83 81 
 44 98 -81 
 44 103 47 
 44 115 71 
 44 133 -51 
 44 164 75 
 44 169 23 
 44 192 -97 
 44 199 -9 
 44 203 -22 
 44 234 28 
 44 245 -98 
 44 247 -47 
 45 53 -66 
 45 57 -2 
 45 69 64 
 45 76 49 
 45 81 39 
 45 84 -59 
 45 94 -85 
 45 107 -87 
 45 122 81 
 45 151 -31 
 45 165 -57 
 45 199 25 
 45 203 75 
 45 206 -29 
 45 207 51 
 45 226 -29 
 45 250 56 
 46 50 75 
 46 52 -4 
 46 56 -67 
 46 71 -46 
 46 78 7 
 46 81 -50 
 46 89 -99 
 46 101 75 
 46 102 63 
 46 104 -81 
 46 112 14 
 46 122 -66 
 46 142 71 
 46 144 34 
 46 157 -57 
 46 161 51 
 46 167 -47 
 46 170 97 
 46 174 69 
 46 190 -58 
 46 197 -51 
 46 203 78 
 46 209 56 
 46 212 59 
 46 225 44 
 46 227 92 
 46 230 -90 
 46 242 -35 
 47 47 -49 
 47 97 -28 
 47 101 -69 
 47 119 -10 
 47 126 6 
 47 131 3 
 47 138 -59 
 47 143 80 
 47 154 -77 
 47 157 -66 
 47 176 25 
 47 178 28 
 47 200 34 
 47 223 -41 
 47 237 -72 
 48 93 16 
 48 106 54 
 48 137 49 
 48 150 -6 
 48 153 -92 
 48 163 1 
 48 182 -80 
 48 184 -83 
 48 189 -25 
 48 191 -81 
 48 196 52 
 48 199 15 
 48 205 63 
 48 219 -23 
 48 228 -30 
 48 232 -41 
 48 234 36 
 48 239 91 
 48 245 74 
 48 247 21 
 49 54 -86 
 49 60 82 
 49 78 -13 
 49 96 -64 
 49 99 -95 
 49 131 -24 
 49 133 -97 
 49 140 86 
 49 143 39 
 49 144 33 
 49 151 -78 
 49 171 -98 
 49 179 19 
 49 194 31 
 49 195 -51 
 49 214 -30 
 49 216 78 
 49 220 -11 
 49 237 18 
 49 239 -15 
 50 50 -12 
 50 55 25 
 50 64 -71 
 50 69 86 
 50 74 -29 
 50 86 -58 
 50 88 95 
 50 106 -26 
 50 107 72 
 50 114 -18 
 50 146 -45 
 50 152 77 
 50 153 -12 
 50 170 73 
 50 176 54 
 50 199 -1 
 50 227 13 
 50 243 17 
 51 55 -74 
 51 76 6 
 51 79 -10 
 51 98 19 
 51 105 -23 
 51 107 9 
 51 110 76 
 51 111 30 
 51 125 -56 
 51 138 -89 
 51 146 -56 
 51 147 7 
 51 159 86 
 51 172 55 
 51 175 51 
 51 177 24 
 51 178 -17 
 51 184 -35 
 51 207 -24 
 51 213 95 
 51 218 44 
 51 222 59 
 51 229 -81 
 51 243 35 
 51 249 79 
 52 68 -3 
 52 85 43 
 52 104 -93 
 52 112 78 
 52 120 -49 
 52 136 -19 
 52 137 -41 
 52 138 77 
 52 157 20 
 52 172 -30 
 52 187 71 
 52 199 -37 
 52 201 -18 
 52 226 88 
 52 238 54 
 52 241 -67 
 53 55 43 
 53 65 96 
 53 86 45 
 53 88 100 
 53 99 -39 
 53 100 61 
 53 114 14 
 53 115 28 
 53 139 -87 
 53 149 -58 
 53 153 -64 
 53 159 -53 
 53 168 13 
 53 183 -24 
 53 186 66 
 53 193 99 
 53 210 96 
 53 215 -44 
 53 217 41 
 53 219 -29 
 53 239 -96 
 53 243 49 
 53 248 40 
 53 250 -49 
 54 54 23 
 54 66 -57 
 54 73 51 
 54 74 55 
 54 81 -32 
 54 85 -87 
 54 86 38 
 54 88 18 
 54 101 95 
 54 114 22 
 54 120 -67 
 54 124 5 
 54 141 -60 
 54 149 98 
 54 156 78 
 54 164 71 
 54 166 55 
 54 168 -6 
 54 186 -26 
 54 202 -43 
 54 203 5 
 54 211 35 
 54 216 -75 
 54 226 50 
 54 231 -23 
 54 244 -70 
 54 246 -19 
 55 55 64 
 55 59 90 
 55 60 -38 
 55 65 89 
 55 69 -8 
 55 77 44 
 55 86 -58 
 55 88 -5 
 55 94 36 
 55 110 48 
 55 111 82 
 55 114 62 
 55 125 -92 
 55 131 -76 
 55 133 -45 
 55 138 69 
 55 139 -4 
 55 143 26 
 55 147 -15 
 55 151 -28 
 55 171 -67 
 55 174 29 
 55 185 38 
 55 188 -90 
 55 189 56 
 55 197 52 
 55 199 -1 
 55 203 -38 
 55 210 74 
 55 213 46 
 55 248 9 
 55 250 13 
 56 62 -57 
 56 77 61 
 56 83 -53 
 56 89 72 
 56 90 3 
 56 106 3 
 56 122 37 
 56 145 -10 
 56 157 -9 
 56 173 60 
 56 188 -57 
 56 199 100 
 56 202 -94 
 56 227 -22 
 56 232 55 
 56 237 -38 
 56 242 9 
 56 245 9 
 57 60 16 
 57 67 30 
 57 76 16 
 57 80 78 
 57 84 -9 
 57 85 -1 
 57 93 -71 
 57 97 69 
 57 103 -99 
 57 104 98 
 57 107 72 
 57 119 -22 
 57 121 -62 
 57 147 -59 
 57 156 73 
 57 166 -17 
 57 182 -58 
 57 186 90 
 57 196 90 
 57 215 44 
 57 247 -73 
 58 79 97 
 58 126 74 
 58 130 -2 
 58 137 -63 
 58 138 -56 
 58 141 26 
 58 142 -46 
 58 154 -58 
 58 157 64 
 58 176 22 
 58 178 -22 
 58 209 98 
 58 214 -85 
 58 215 90 
 58 222 81 
 58 226 -7 
 58 234 26 
 58 240 -54 
 59 76 99 
 59 94 -56 
 59 119 67 
 59 121 -90 
 59 129 -30 
 59 135 -53 
 59 141 -74 
 59 144 17 
 59 152 97 
 59 154 29 
 59 158 39 
 59 159 84 
 59 168 -50 
 59 181 -47 
 59 182 -75 
 59 190 79 
 59 211 15 
 59 229 90 
 59 236 88 
 59 240 -46 
 59 250 18 
 60 73 -38 
 60 88 -6 
 60 97 82 
 60 101 -89 
 60 115 -9 
 60 118 80 
 60 125 -6 
 60 130 22 
 60 159 85 
 60 184 -1 
 60 187 6 
 60 190 -28 
 60 195 -27 
 60 201 -87 
 60 203 87 
 60 239 -84 
 60 249 -35 
 60 250 80 
 61 94 -20 
 61 112 79 
 61 121 -18 
 61 123 -68 
 61 131 -97 
 61 133 -24 
 61 137 -61 
 61 144 57 
 61 145 79 
 61 146 60 
 61 150 -34 
 61 159 -99 
 61 160 -79 
 61 175 63 
 61 190 23 
 61 201 93 
 61 202 -64 
 61 208 92 
 61 215 5 
 61 219 65 
 61 229 92 
 61 232 -57 
 61 234 -31 
 61 243 32 
 62 69 73 
 62 77 -96 
 62 84 -41 
 62 92 69 
 62 119 61 
 62 131 -13 
 62 136 28 
 62 155 -8 
 62 160 -82 
 62 188 25 
 62 193 27 
 62 225 7 
 62 227 75 
 62 242 59 
 62 244 47 
 63 63 10 
 63 73 45 
 63 76 65 
 63 93 -68 
 63 98 99 
 63 101 -24 
 63 103 -93 
 63 104 -65 
 63 108 -41 
 63 117 80 
 63 120 65 
 63 121 39 
 63 127 -75 
 63 154 -25 
 63 163 -3 
 63 170 -55 
 63 176 -42 
 63 204 -53 
 63 208 22 
 63 213 76 
 63 241 -39 
 63 244 -33 
 63 246 -66 
 63 247 -64 
 64 71 21 
 64 72 -58 
 64 86 -83 
 64 99 -33 
 64 102 18 
 64 104 -95 
 64 110 13 
 64 111 25 
 64 114 31 
 64 127 -23 
 64 160 -52 
 64 163 -1 
 64 174 17 
 64 185 14 
 64 196 81 
 64 200 -95 
 64 218 48 
 64 222 60 
 64 223 -70 
 64 229 81 
 64 232 -29 
 64 236 -40 
 64 247 9 
 64 248 22 
 65 65 -61 
 65 76 -42 
 65 78 94 
 65 102 -51 
 65 140 72 
 65 167 -56 
 65 171 85 
 65 179 15 
 65 185 -45 
 65 229 -37 
 66 82 -92 
 66 88 75 
 66 107 -29 
 66 122 -25 
 66 137 -44 
 66 147 -17 
 66 155 16 
 66 167 -47 
 66 203 76 
 66 206 -90 
 66 216 -64 
 66 242 -8 
 66 246 34 
 67 69 45 
 67 70 92 
 67 74 -88 
 67 88 -74 
 67 93 36 
 67 95 -82 
 67 125 -68 
 67 140 8 
 67 143 -5 
 67 148 -65 
 67 176 12 
 67 177 58 
 67 199 7 
 67 201 -88 
 67 209 28 
 67 210 10 
 67 224 3 
 67 226 -20 
 67 229 -97 
 67 232 22 
 67 239 -66 
 67 241 53 
 67 243 -71 
 68 72 -50 
 68 84 -62 
 68 87 -50 
 68 90 43 
 68 102 -55 
 68 119 -74 
 68 120 -84 
 68 150 63 
 68 181 56 
 68 221 44 
 69 98 -16 
 69 105 32 
 69 113 -68 
 69 120 31 
 69 123 -78 
 69 125 -46 
 69 138 62 
 69 144 -72 
 69 186 -27 
 69 190 -19 
 69 194 20 
 69 202 -22 
 69 203 -74 
 69 204 96 
 69 224 69 
 70 82 -13 
 70 92 -65 
 70 96 44 
 70 99 -87 
 70 115 73 
 70 127 42 
 70 142 -37 
 70 158 -78 
 70 162 5 
 70 165 63 
 70 167 -60 
 70 170 94 
 70 173 -55 
 70 176 32 
 70 210 -64 
 70 214 58 
 70 220 -11 
 70 224 -51 
 70 230 84 
 70 235 -35 
 70 242 -93 
 71 89 94 
 71 90 99 
 71 96 -10 
 71 117 10 
 71 119 32 
 71 147 82 
 71 156 -22 
 71 168 30 
 71 170 69 
 71 176 -74 
 71 183 64 
 71 193 -60 
 71 195 -21 
 71 196 -25 
 71 202 -22 
 71 205 13 
 71 207 -53 
 71 227 -99 
 71 239 -84 
 71 240 -1 
 71 249 -63 
 72 89 31 
 72 90 -81 
 72 109 10 
 72 116 42 
 72 117 31 
 72 130 -71 
 72 162 -14 
 72 178 76 
 72 221 -52 
 73 89 37 
 73 100 45 
 73 110 7 
 73 115 -22 
 73 117 26 
 73 135 65 
 73 139 -40 
 73 145 51 
 73 157 50 
 73 179 -98 
 73 202 -21 
 73 205 -38 
 73 226 7 
 73 234 57 
 74 76 76 
 74 87 -69 
 74 101 -84 
 74 107 31 
 74 113 -4 
 74 157 -74 
 74 161 86 
 74 165 25 
 74 168 29 
 74 201 57 
 74 224 72 
 74 226 -87 
 74 237 3 
 75 88 94 
 75 91 36 
 75 97 -29 
 75 104 93 
 75 109 -83 
 75 116 32 
 75 168 1 
 75 173 45 
 75 183 20 
 75 201 80 
 75 204 -76 
 75 206 -63 
 75 210 3 
 75 216 -46 
 75 227 83 
 75 228 25 
 75 248 2 
 76 77 67 
 76 85 -68 
 76 88 -82 
 76 97 26 
 76 106 92 
 76 131 38 
 76 133 19 
 76 147 59 
 76 185 42 
 76 190 77 
 76 207 -23 
 76 216 15 
 77 78 5 
 77 100 64 
 77 131 60 
 77 134 98 
 77 135 61 
 77 139 -58 
 77 163 55 
 77 165 88 
 77 170 -1 
 77 180 -74 
 77 215 -30 
 77 216 26 
 77 218 -4 
 77 227 45 
 77 246 41 
 78 85 47 
 78 87 -45 
 78 135 10 
 78 136 -40 
 78 138 -97 
 78 155 -15 
 78 170 53 
 78 176 21 
 78 179 29 
 78 190 42 
 78 216 -91 
 78 227 -82 
 78 229 -46 
 79 83 -30 
 79 97 44 
 79 128 -2 
 79 139 91 
 79 144 87 
 79 145 -74 
 79 147 72 
 79 154 -12 
 79 156 16 
 79 171 14 
 79 172 -65 
 79 177 96 
 79 181 -94 
 79 187 54 
 79 190 35 
 79 191 95 
 79 199 -9 
 79 201 -10 
 79 218 -25 
 79 227 -12 
 79 231 -82 
 79 234 -53 
 80 82 91 
 80 85 9 
 80 89 61 
 80 96 52 
 80 100 -32 
 80 109 23 
 80 116 9 
 80 121 -14 
 80 122 73 
 80 123 -40 
 80 168 80 
 80 216 20 
 80 225 6 
 80 238 -53 
 81 90 -18 
 81 92 -88 
 81 93 49 
 81 94 -36 
 81 103 -24 
 81 107 73 
 81 109 -38 
 81 116 -51 
 81 120 57 
 81 126 -34 
 81 132 23 
 81 150 32 
 81 173 -50 
 81 191 -10 
 81 204 15 
 81 208 64 
 81 211 -83 
 81 213 57 
 81 225 51 
 81 231 -77 
 81 233 73 
 81 240 -29 
 81 248 77 
 82 91 -97 
 82 96 -30 
 82 113 -85 
 82 123 -66 
 82 131 7 
 82 134 -72 
 82 150 89 
 82 157 87 
 82 191 40 
 82 193 -46 
 82 199 93 
 82 208 82 
 82 213 -48 
 82 214 -48 
 82 224 14 
 82 228 -13 
 82 229 -6 
 82 231 -37 
 82 240 -69 
 83 97 -45 
 83 116 -2 
 83 117 -24 
 83 127 96 
 83 143 28 
 83 152 69 
 83 160 -51 
 83 169 -46 
 83 176 20 
 83 178 -83 
 83 185 -42 
 83 190 78 
 83 205 -90 
 83 209 9 
 83 215 -36 
 83 216 -89 
 83 232 64 
 83 234 -57 
 83 249 44 
 84 84 86 
 84 86 -65 
 84 102 -85 
 84 117 -69 
 84 119 43 
 84 124 76 
 84 127 25 
 84 133 -35 
 84 137 -92 
 84 149 54 
 84 153 100 
 84 165 33 
 84 168 -67 
 84 179 91 
 84 194 84 
 84 208 58 
 84 209 -96 
 84 211 -34 
 84 231 81 
 84 238 82 
 85 87 -32 
 85 115 -68 
 85 139 -81 
 85 146 71 
 85 168 -19 
 85 183 -75 
 85 184 -57 
 85 190 85 
 85 191 85 
 85 197 90 
 85 203 -5 
 85 208 -78 
 85 212 -22 
 85 226 92 
 85 233 -44 
 85 250 88 
 86 86 -13 
 86 92 19 
 86 96 92 
 86 109 3 
 86 122 -90 
 86 138 -75 
 86 139 100 
 86 143 43 
 86 156 82 
 86 161 -9 
 86 177 54 
 86 181 36 
 86 186 100 
 86 193 -35 
 86 206 -58 
 86 243 11 
 86 246 46 
 87 120 2 
 87 134 -79 
 87 145 30 
 87 170 44 
 87 176 75 
 87 177 -77 
 87 178 97 
 87 181 -10 
 87 200 88 
 87 249 20 
 88 90 51 
 88 98 -57 
 88 117 99 
 88 123 -63 
 88 129 92 
 88 137 20 
 88 152 43 
 88 169 -85 
 88 178 75 
 88 191 34 
 88 196 80 
 88 197 28 
 88 213 -32 
 88 221 -60 
 88 231 -17 
 88 237 -33 
 88 244 -55 
 88 245 -13 
 89 127 -65 
 89 128 -23 
 89 132 29 
 89 136 94 
 89 140 77 
 89 152 83 
 89 153 -53 
 89 154 -32 
 89 167 51 
 89 174 77 
 89 190 79 
 89 192 66 
 89 204 61 
 89 211 -4 
 89 219 -59 
 89 227 -20 
 89 235 20 
 89 238 5 
 90 90 69 
 90 92 -7 
 90 94 86 
 90 117 -16 
 90 119 -45 
 90 121 34 
 90 138 -59 
 90 148 -91 
 90 157 72 
 90 159 -96 
 90 170 -89 
 90 172 -90 
 90 175 -92 
 90 184 -34 
 90 197 88 
 90 204 -64 
 90 207 -91 
 90 211 96 
 90 215 -88 
 90 218 84 
 90 231 19 
 90 249 94 
 91 92 93 
 91 94 -3 
 91 135 70 
 91 145 -90 
 91 161 -62 
 91 172 85 
 91 185 -56 
 91 186 -93 
 91 193 55 
 91 203 -73 
 91 214 -18 
 91 230 42 
 91 232 -19 
 91 238 -5 
 91 240 -23 
 91 242 -73 
 92 103 96 
 92 119 -3 
 92 120 -56 
 92 152 51 
 92 160 100 
 92 161 73 
 92 180 4 
 92 181 -95 
 92 182 46 
 92 188 18 
 92 193 -41 
 92 220 32 
 92 230 -86 
 92 232 44 
 93 93 53 
 93 117 37 
 93 121 -21 
 93 143 40 
 93 146 -14 
 93 156 64 
 93 170 -17 
 93 173 -68 
 93 180 38 
 93 194 89 
 93 195 56 
 93 204 86 
 93 232 -17 
 93 243 18 
 93 245 -83 
 93 247 -34 
 94 109 98 
 94 137 -36 
 94 160 -42 
 94 172 -96 
 94 184 70 
 94 200 -63 
 94 206 -31 
 94 210 86 
 94 223 71 
 94 233 -88 
 94 247 -62 
 95 95 -12 
 95 97 20 
 95 127 83 
 95 139 76 
 95 142 41 
 95 147 -38 
 95 153 59 
 95 159 -44 
 95 200 -98 
 95 208 -62 
 95 216 -90 
 95 243 55 
 96 96 -56 
 96 102 43 
 96 104 -92 
 96 108 -26 
 96 112 90 
 96 113 -38 
 96 117 -53 
 96 137 68 
 96 159 86 
 96 164 -36 
 96 185 16 
 96 187 -42 
 96 190 -49 
 96 191 12 
 96 204 22 
 96 206 -52 
 96 210 2 
 96 228 -64 
 96 231 -72 
 96 232 -53 
 97 109 9 
 97 119 -74 
 97 129 -34 
 97 139 -16 
 97 179 -61 
 97 181 -11 
 97 183 -76 
 97 213 8 
 97 214 33 
 97 227 22 
 97 230 37 
 97 231 7 
 97 232 9 
 97 234 18 
 97 236 -51 
 97 241 95 
 98 103 52 
 98 104 -97 
 98 125 80 
 98 127 65 
 98 143 -53 
 98 156 9 
 98 159 -63 
 98 169 37 
 98 171 -19 
 98 189 20 
 98 197 58 
 98 199 46 
 98 211 -41 
 98 227 88 
 98 235 -83 
 98 242 -59 
 99 105 -71 
 99 111 -88 
 99 126 -36 
 99 127 7 
 99 139 -64 
 99 146 77 
 99 148 -5 
 99 151 -51 
 99 153 72 
 99 162 93 
 99 170 -52 
 99 194 -39 
 99 210 -50 
 99 233 -53 
 99 238 99 
 99 246 90 
 100 110 29 
 100 119 -1 
 100 123 -29 
 100 127 -87 
 100 135 -55 
 100 165 -77 
 100 168 90 
 100 192 10 
 100 202 22 
 100 206 -40 
 100 210 70 
 100 218 -81 
 100 222 -4 
 100 231 -27 
 100 237 -91 
 100 239 -7 
 100 246 -63 
 101 126 39 
 101 129 -6 
 101 131 -31 
 101 138 1 
 101 139 -51 
 101 148 75 
 101 152 -24 
 101 181 -46 
 101 188 84 
 101 196 98 
 101 217 34 
 101 248 -61 
 102 105 43 
 102 108 5 
 102 109 36 
 102 118 40 
 102 119 -4 
 102 126 -87 
 102 134 -56 
 102 135 -19 
 102 137 1 
 102 154 -19 
 102 173 88 
 102 186 -31 
 102 194 82 
 102 205 -5 
 102 230 11 
 102 238 -76 
 103 104 26 
 103 115 -3 
 103 124 -33 
 103 138 40 
 103 141 86 
 103 162 16 
 103 196 -43 
 103 199 88 
 103 205 -66 
 103 222 8 
 103 223 -63 
 103 231 -51 
 103 244 48 
 104 105 47 
 104 111 -56 
 104 113 -33 
 104 133 63 
 104 144 54 
 104 153 93 
 104 154 -66 
 104 173 62 
 104 178 -20 
 104 179 -42 
 104 186 -4 
 104 206 25 
 104 218 -74 
 104 225 2 
 104 235 26 
 104 245 36 
 105 108 -83 
 105 112 56 
 105 135 -79 
 105 138 86 
 105 149 -7 
 105 150 -64 
 105 151 73 
 105 153 77 
 105 155 -7 
 105 160 -41 
 105 161 84 
 105 179 100 
 105 193 -72 
 105 204 84 
 105 211 90 
 105 215 -90 
 105 234 57 
 105 242 -64 
 106 124 -81 
 106 128 90 
 106 131 9 
 106 139 -9 
 106 169 45 
 106 183 -4 
 106 193 -66 
